model,benchmark,skill_config,score,score_std,pass_rate,n_cases,avg_latency_ms,latency_std,avg_tokens,skill_delta,n_runs
gemma4:e2b,end_to_end_task_completion,all_skills,0.838,0.076,83.8%,33,86855.8,7074.7,55360,+0.222,3
gemma4:e2b,end_to_end_task_completion,no_skills,0.616,0.093,61.6%,33,110691.6,8199.4,22897,—,3
gemma4:e2b,skill_selection_accuracy,all_skills,1.000,0.000,100.0%,33,28918.0,2673.5,24434,n/a,3
gemma4:e4b,end_to_end_task_completion,all_skills,0.929,0.017,92.9%,33,131946.9,6412.9,58326,+0.253,3
gemma4:e4b,end_to_end_task_completion,no_skills,0.677,0.046,67.7%,33,135448.9,26309.4,17671,—,3
gemma4:e4b,skill_selection_accuracy,all_skills,0.970,0.000,97.0%,33,4421.3,2924.1,19800,n/a,3
gpt-oss:20b,end_to_end_task_completion,all_skills,0.889,0.063,88.9%,33,93213.9,9983.9,50496,+0.111,3
gpt-oss:20b,end_to_end_task_completion,no_skills,0.778,0.076,77.8%,33,134749.9,23816.8,17770,—,3
gpt-oss:20b,skill_selection_accuracy,all_skills,1.000,0.000,100.0%,33,20682.6,4355.4,22009,n/a,3
ministral-3:14b,end_to_end_task_completion,all_skills,0.980,0.017,98.0%,33,41576.4,1728.4,44948,+0.374,3
ministral-3:14b,end_to_end_task_completion,no_skills,0.606,0.000,60.6%,33,7702.1,346.3,2489,—,3
ministral-3:14b,skill_selection_accuracy,all_skills,1.000,0.000,100.0%,33,9591.9,4986.5,19377,n/a,3
ministral-3:3b,end_to_end_task_completion,all_skills,0.980,0.035,98.0%,33,14252.9,220.6,46516,+0.677,3
ministral-3:3b,end_to_end_task_completion,no_skills,0.303,0.030,30.3%,33,2966.0,225.0,2586,—,3
ministral-3:3b,skill_selection_accuracy,all_skills,0.939,0.030,93.9%,33,3076.7,2026.4,19378,n/a,3
ministral-3:8b,end_to_end_task_completion,all_skills,0.990,0.017,99.0%,33,24302.2,1606.3,45709,+0.535,3
ministral-3:8b,end_to_end_task_completion,no_skills,0.455,0.000,45.5%,33,4072.0,251.6,2489,—,3
ministral-3:8b,skill_selection_accuracy,all_skills,1.000,0.000,100.0%,33,5637.5,3203.0,19377,n/a,3
nemotron-3-nano:4b,end_to_end_task_completion,all_skills,0.798,0.046,79.8%,33,238584.3,13079.7,83405,+0.182,3
nemotron-3-nano:4b,end_to_end_task_completion,no_skills,0.616,0.195,61.6%,33,120578.6,17471.9,15087,—,3
nemotron-3-nano:4b,skill_selection_accuracy,all_skills,1.000,0.000,100.0%,33,23487.7,3259.1,21711,n/a,3
qwen3.5:2b,end_to_end_task_completion,all_skills,0.758,0.000,75.8%,33,212882.0,17966.4,85767,+0.727,3
qwen3.5:2b,end_to_end_task_completion,no_skills,0.030,0.030,3.0%,33,18183.5,2824.3,15145,—,3
qwen3.5:2b,skill_selection_accuracy,all_skills,0.848,0.262,84.8%,33,81917.5,41768.6,26821,n/a,3
qwen3.5:4b,end_to_end_task_completion,all_skills,0.970,0.030,97.0%,33,242296.9,41886.9,70814,+0.919,3
qwen3.5:4b,end_to_end_task_completion,no_skills,0.051,0.063,5.1%,33,10993.8,5226.6,8342,—,3
qwen3.5:4b,skill_selection_accuracy,all_skills,1.000,0.000,100.0%,33,140161.3,11452.9,28659,n/a,3
qwen3.5:9b,end_to_end_task_completion,all_skills,0.960,0.017,96.0%,33,282513.5,22679.0,69871,+0.939,3
qwen3.5:9b,end_to_end_task_completion,no_skills,0.020,0.035,2.0%,33,8712.0,4144.6,5449,—,3
qwen3.5:9b,skill_selection_accuracy,all_skills,1.000,0.000,100.0%,33,89012.4,5033.4,23894,n/a,3
