model,benchmark,skill_config,score,score_std,pass_rate,n_cases,avg_latency_ms,latency_std,avg_tokens,skill_delta,n_runs
gemma4:e2b,end_to_end_task_completion,all_skills,0.850,0.000,85.0%,20,36633.7,582.5,21184,+0.000,3
gemma4:e2b,end_to_end_task_completion,no_skills,0.850,0.000,85.0%,20,54169.9,9573.6,10468,—,3
gemma4:e2b,skill_selection_accuracy,all_skills,0.960,0.000,96.0%,25,10439.1,1503.2,13201,n/a,3
gemma4:e4b,end_to_end_task_completion,all_skills,1.000,0.000,100.0%,20,48890.4,5575.3,22484,+0.450,3
gemma4:e4b,end_to_end_task_completion,no_skills,0.550,0.000,55.0%,20,27902.3,5373.5,5158,—,3
gemma4:e4b,skill_selection_accuracy,all_skills,1.000,0.000,100.0%,25,3717.8,3009.2,11846,n/a,3
gpt-oss:20b,end_to_end_task_completion,all_skills,0.950,0.000,95.0%,20,33626.9,1060.1,16713,+0.150,3
gpt-oss:20b,end_to_end_task_completion,no_skills,0.800,0.000,80.0%,20,80535.0,6672.8,10253,—,3
gpt-oss:20b,skill_selection_accuracy,all_skills,1.000,0.000,100.0%,25,17140.0,5408.5,13620,n/a,3
ministral-3:14b,end_to_end_task_completion,all_skills,0.850,0.000,85.0%,20,23178.2,945.8,18953,+0.250,3
ministral-3:14b,end_to_end_task_completion,no_skills,0.600,0.000,60.0%,20,7034.0,947.6,1984,—,3
ministral-3:14b,skill_selection_accuracy,all_skills,1.000,0.000,100.0%,25,8124.8,4782.5,11438,n/a,3
ministral-3:3b,end_to_end_task_completion,all_skills,0.750,0.000,75.0%,20,8018.6,491.7,21764,+0.450,3
ministral-3:3b,end_to_end_task_completion,no_skills,0.300,0.000,30.0%,20,4268.2,366.4,2439,—,3
ministral-3:3b,skill_selection_accuracy,all_skills,0.920,0.000,92.0%,25,2350.2,1834.0,11440,n/a,3
ministral-3:8b,end_to_end_task_completion,all_skills,0.900,0.000,90.0%,20,14066.2,644.2,19933,+0.350,3
ministral-3:8b,end_to_end_task_completion,no_skills,0.550,0.000,55.0%,20,4147.9,974.4,2088,—,3
ministral-3:8b,skill_selection_accuracy,all_skills,1.000,0.000,100.0%,25,4209.6,2936.5,11438,n/a,3
nemotron-3-nano:4b,end_to_end_task_completion,all_skills,0.900,0.000,90.0%,20,146140.6,4924.5,42779,+0.200,3
nemotron-3-nano:4b,end_to_end_task_completion,no_skills,0.700,0.000,70.0%,20,87477.2,10019.9,11129,—,3
nemotron-3-nano:4b,skill_selection_accuracy,all_skills,1.000,0.000,100.0%,25,21547.8,1975.6,12724,n/a,3
qwen3.5:2b,end_to_end_task_completion,all_skills,0.800,0.000,80.0%,20,104434.1,10079.8,39243,+0.500,3
qwen3.5:2b,end_to_end_task_completion,no_skills,0.300,0.000,30.0%,20,135710.6,11210.8,18144,—,3
qwen3.5:2b,skill_selection_accuracy,all_skills,1.000,0.000,100.0%,25,76686.0,2813.8,20077,n/a,3
qwen3.5:4b,end_to_end_task_completion,all_skills,0.950,0.000,95.0%,20,102109.8,5054.0,34237,+0.550,3
qwen3.5:4b,end_to_end_task_completion,no_skills,0.400,0.000,40.0%,20,81001.8,2401.5,10716,—,3
qwen3.5:4b,skill_selection_accuracy,all_skills,1.000,0.000,100.0%,25,119981.9,7413.0,18983,n/a,3
qwen3.5:9b,end_to_end_task_completion,all_skills,0.950,0.000,95.0%,20,156623.0,2059.2,35723,+0.783,3
qwen3.5:9b,end_to_end_task_completion,no_skills,0.167,0.153,16.7%,20,49761.0,22197.2,7710,—,3
qwen3.5:9b,skill_selection_accuracy,all_skills,1.000,0.000,100.0%,25,90476.7,1083.0,15014,n/a,3
